Date,fluxSZ4,fluxSZ5
12/01/2015,0.0093,0.0187
12/02/2015,0.0093,0.0183
12/03/2015,0.0096,0.0186
12/04/2015,0.0102,0.019
12/05/2015,0.0086,0.0157
12/06/2015,0.0084,0.0152
12/07/2015,0.0084,0.0147
12/08/2015,0.0079,0.0139
12/09/2015,0.0065,0.0114
12/10/2015,0.0079,0.0135
12/11/2015,0.0092,0.0179
12/12/2015,0.0092,0.0179
12/13/2015,0.0077,0.0148
12/14/2015,0.0092,0.0179
12/15/2015,0.0092,0.0179
12/16/2015,0.009,0.019
12/17/2015,0.0099,0.0189
12/18/2015,0.0098,0.0176
12/19/2015,0.0098,0.0187
12/20/2015,0.0073,0.0141
12/21/2015,0.0058,0.0127
12/22/2015,0.0081,0.0149
12/23/2015,0.0077,0.0152
12/24/2015,0.0073,0.0129
12/25/2015,0.0108,0.019
12/26/2015,0.0112,0.0193
12/27/2015,0.0098,0.016
12/28/2015,0.008,0.0177
12/29/2015,0.0089,0.0179
12/30/2015,0.0094,0.0168
12/31/2015,0.0102,0.0176
01/01/2016,0.0085,0.0154
01/02/2016,0.0089,0.0175
01/03/2016,0.0081,0.0166
01/04/2016,0.0092,0.0179
01/05/2016,0.0092,0.0179
01/06/2016,0.0089,0.0182
01/07/2016,0.0093,0.0157
01/08/2016,0.0064,0.0125
01/09/2016,0.0077,0.0136
01/10/2016,0.0036,0.0077
01/11/2016,0.0081,0.0163
01/12/2016,0.0061,0.0141
01/13/2016,0.0083,0.0162
01/14/2016,0.0094,0.0167
01/15/2016,0.0089,0.0159
01/16/2016,0.0078,0.0127
01/17/2016,0.0081,0.017
01/18/2016,0.0097,0.0187
01/19/2016,0.0092,0.0179
01/20/2016,0.0092,0.0179
01/21/2016,0.007,0.0174
01/22/2016,0.0045,0.0159
01/23/2016,0.0093,0.0177
01/24/2016,0.0094,0.0194
01/25/2016,0.0099,0.0233
01/26/2016,0.0046,0.021
01/27/2016,0.0074,0.0214
01/28/2016,0.009,0.0199
01/29/2016,0.0094,0.0222
01/30/2016,0.0069,0.0211
01/31/2016,0.009,0.0291
02/01/2016,0.0063,0.024
02/02/2016,0.0076,0.0222
02/03/2016,0.0092,0.0228
02/04/2016,0.0088,0.0206
02/05/2016,0.0086,0.0209
02/06/2016,0.0066,0.0196
02/07/2016,0.009,0.0213
02/08/2016,0.0063,0.0212
02/09/2016,0.0061,0.0173
02/10/2016,0.0067,0.0216
02/11/2016,0.0058,0.0221
02/12/2016,0.0063,0.0209
02/13/2016,0.0066,0.0216
02/14/2016,0.0058,0.0118
02/15/2016,0.0085,0.0226
