         24794591 function calls (24687411 primitive calls) in 23.305 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    2.795    2.795   23.305   23.305 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\cuwalid\dryp\main_DRYP.py:84(run_DRYP)
    17592    1.782    0.000    9.276    0.001 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\cuwalid\dryp\components\DRYP_groundwater_EFD.py:134(run_one_step_gw)
    35184    1.175    0.000    1.183    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\cuwalid\dryp\components\DRYP_soil_layer.py:312(SWBMh)
   404616    0.906    0.000    2.043    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\numpy\core\_methods.py:101(_mean)
   774111    0.872    0.000    0.872    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   228748    0.651    0.000    1.595    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\xarray\core\dataset.py:1470(_construct_dataarray)
    35184    0.546    0.000    3.488    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\cuwalid\dryp\components\DRYP_soil_layer.py:70(run_swbm_one_step)
   404616    0.487    0.000    0.535    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\numpy\core\_methods.py:67(_count_reduce_items)
    87960    0.485    0.000    1.130    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\cuwalid\dryp\components\DRYP_store_functions.py:96(store_variables)
   228748    0.405    0.000    2.160    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\xarray\core\dataset.py:1560(__getitem__)
   240877    0.386    0.000    0.487    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\numpy\core\numeric.py:67(zeros_like)
    70373    0.364    0.000    2.316    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\numpy\core\numeric.py:2249(isclose)
   299078    0.360    0.000    1.113    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\numpy\core\fromnumeric.py:71(_wrapreduction)
    70373    0.359    0.000    1.271    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\numpy\core\numeric.py:2330(within_tol)
    17592    0.344    0.000    1.463    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\landlab\grid\divergence.py:235(_calc_net_face_flux_at_cell)
    17592    0.334    0.000    0.618    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\cuwalid\dryp\components\DRYP_infiltration.py:141(infiltration_model)
    35184    0.330    0.000    0.330    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\cuwalid\dryp\components\DRYP_groundwater_EFD.py:643(storage_uz_sz)
   404616    0.329    0.000    2.389    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\numpy\core\fromnumeric.py:3385(mean)
    35401    0.326    0.000    0.326    0.000 {method 'astype' of 'numpy.ndarray' objects}
   228748    0.324    0.000    0.394    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\xarray\core\indexes.py:1866(filter_indexes_from_coords)
   228782    0.262    0.000    0.513    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\xarray\core\dataarray.py:413(__init__)
    17592    0.237    0.000    0.240    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\cuwalid\dryp\components\DRYP_groundwater_EFD.py:826(regularization_T)
1144641/1144613    0.233    0.000    0.233    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\xarray\core\common.py:307(__setattr__)
       20    0.230    0.011    0.686    0.034 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\pandas\io\formats\csvs.py:315(_save_chunk)
    17592    0.228    0.000    0.361    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\cuwalid\dryp\components\DRYP_soil_layer.py:35(run_soil_aquifer_one_step)
     6000    0.224    0.000    0.228    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\cuwalid\dryp\components\DRYP_infiltration.py:304(Philip)
    35184    0.223    0.000    0.724    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\landlab\grid\mappers.py:637(map_max_of_node_links_to_node)
    35184    0.220    0.000    0.456    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\cuwalid\dryp\components\DRYP_groundwater_EFD.py:892(time_step_confined)
    87960    0.208    0.000    0.389    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\pandas\core\arrays\datetimes.py:545(_box_func)
   123147    0.197    0.000    0.342    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\landlab\field\graph_field.py:946(empty)
   140756    0.187    0.000    0.400    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\numpy\core\_ufunc_config.py:33(seterr)
    52776    0.179    0.000    0.598    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\numpy\lib\nanfunctions.py:236(nanmin)
    17592    0.173    0.000    0.188    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\cuwalid\dryp\components\DRYP_soil_layer.py:167(water_deficit)
       40    0.165    0.004    0.166    0.004 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\pandas\core\dtypes\cast.py:1580(construct_1d_object_array_from_listlike)
    70368    0.161    0.000    2.763    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\numpy\core\numeric.py:2170(allclose)
    17592    0.161    0.000    0.166    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\cuwalid\dryp\components\DRYP_flow_accumf90.py:95(run_runoff_one_step)
   289429    0.155    0.000    0.155    0.000 {built-in method numpy.array}
1279256/1279229    0.148    0.000    0.228    0.000 {built-in method builtins.isinstance}
   140756    0.143    0.000    0.152    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\numpy\core\_ufunc_config.py:132(geterr)
   228707    0.141    0.000    0.932    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\numpy\core\fromnumeric.py:2421(all)
       20    0.133    0.007    0.134    0.007 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\pandas\core\arrays\datetimes.py:744(_format_native_types)
    17592    0.130    0.000    0.132    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\cuwalid\dryp\components\DRYP_soil_layer.py:422(variable_soil_depth)
723654/723646    0.130    0.000    0.392    0.000 {built-in method builtins.getattr}
   175930    0.124    0.000    0.325    0.000 {method 'all' of 'numpy.generic' objects}
   299078    0.118    0.000    0.118    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\numpy\core\fromnumeric.py:72(<dictcomp>)
    87964    0.115    0.000    0.115    0.000 {method 'view' of 'numpy.generic' objects}
    17592    0.114    0.000    0.178    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\landlab\grid\raster_gradients.py:240(calc_grad_at_link)
   439599    0.107    0.000    0.107    0.000 {built-in method numpy.zeros}
